County,State,R0
Cass,Missouri,0.7139004102598586
Carroll,New Hampshire,0.7348788142689189
Hunterdon,New Jersey,0.6975376432551393
Somerset,New Jersey,0.6866709178845624
Allegany,New York,0.728200220996384
Onondaga,New York,0.7075094063314703
Ontario,New York,0.7153364802468166
Durham,North Carolina,0.6935706113983274
Geauga,Ohio,0.6872690490269042
Canadian,Oklahoma,0.707005546481329
Benton,Oregon,0.7355948097300353
Fairfield,South Carolina,0.7181771488485078
Sevier,Tennessee,0.6841217023831846
Bowie,Texas,0.6856545464617791
Matagorda,Texas,0.7316885152134633
Tooele,Utah,0.7064011596956652
Wasatch,Utah,0.7206023397289132
Orange,Vermont,0.7734846870273497
Stafford,Virginia,0.6708275803039366
York,Virginia,0.7222947397677432
Outagamie,Wisconsin,0.7148058897515216
Wood,Wisconsin,0.8250343049493399
Madison,Alabama,0.7194454087812425
St. Clair,Alabama,0.711834990407796
Ketchikan Gateway Borough,Alaska,0.7577673411162131
Navajo,Arizona,0.6889094126373396
Kern,California,0.6841369236813232
Monterey,California,0.6998717366572121
Sussex,Delaware,0.6256563842371647
Brevard,Florida,0.6936618118963207
Polk,Florida,0.6976191989013244
Richmond,Georgia,0.6702683517038194
Whitfield,Georgia,0.6648299990099221
Hawaii,Hawaii,0.7017612380972217
Madison,Idaho,0.7721899226791568
Franklin,Indiana,0.7238651826713718
Lake,Indiana,0.6741341067139938
Adair,Iowa,0.9771224808463266
Black Hawk,Iowa,-0.08243590641547267
Douglas,Kansas,0.734875395006328
Ford,Kansas,-0.39130356766435337
Lyon,Kentucky,0.7200524077130855
East Baton Rouge,Louisiana,0.6905053844469919
Washington,Louisiana,0.6940200246559989
Kennebec,Maine,0.6921248272501842
Oxford,Maine,0.7534925987168849
York,Maine,0.7124863760227405
Jackson,Michigan,0.6864655393798977
Otsego,Michigan,0.6837022908322719
Martin,Minnesota,0.7434166594327478
Nicollet,Minnesota,0.745792095983108
Harrison,Mississippi,0.7141101747727062
Jackson,Mississippi,0.6994722478181591
Boone,Missouri,0.7317652389708804
Cole,Missouri,0.7287832544162929
Jackson,Missouri,0.707147907941629
Knox,Nebraska,0.8214557960388978
Sarpy,Nebraska,0.6814796908762177
Gloucester,New Jersey,0.6797466806565294
Warren,New Jersey,0.680147444917541
Taos,New Mexico,0.7478024862419271
Clinton,New York,0.7257834285893452
Rensselaer,New York,0.6957079564009212
Sullivan,New York,0.6880722071089356
Wyoming,New York,0.6973292464264164
Iredell,North Carolina,0.7147631266432691
Sampson,North Carolina,-2690.694832058399
Burleigh,North Dakota,0.7345638841085699
Cass,North Dakota,0.6156982927544672
Coshocton,Ohio,0.7496861581613522
Darke,Ohio,0.7066427598114465
Lake,Ohio,0.7138246692929296
Mahoning,Ohio,0.692576006895232
Pawnee,Oklahoma,0.7368947177895459
Lane,Oregon,0.7276284749604864
Beaver,Pennsylvania,0.6748681127514228
Calhoun,South Carolina,0.7604784188950854
Richland,South Carolina,0.694211037647403
York,South Carolina,0.7113656673099881
Brazos,Texas,0.7101893676068551
Ellis,Texas,0.6940722818997058
Lubbock,Texas,0.6923567256064728
Charlottesville city,Virginia,0.7193769068143668
Goochland,Virginia,0.683526801553055
Henrico,Virginia,0.6806284898946433
Williamsburg city,Virginia,0.741157183407492
Franklin,Washington,0.6824893138021079
Mason,Washington,0.7279241597210929
Jefferson,West Virginia,0.7032647564518327
Kenosha,Wisconsin,0.6920448297499504
Laramie,Wyoming,0.722984795023821
Park,Wyoming,0.9771224808463266
Calhoun,Alabama,0.6996209478818168
Talladega,Alabama,0.701727786116103
Kenai Peninsula Borough,Alaska,0.7392887645777901
Coconino,Arizona,0.6972072601827642
Bradley,Arkansas,0.7531456856934596
Faulkner,Arkansas,0.7312045746008926
Washington,Arkansas,0.7044916312547111
Mendocino,California,1801.0004307068418
Yuma,Colorado,-2463.4274842536697
Middlesex,Connecticut,0.6781038947353649
Kent,Delaware,0.666554777681333
Leon,Florida,0.6904162535520193
Sumter,Florida,0.7095196419899029
Walton,Florida,0.7374346604115062
Columbia,Georgia,0.6881542569096167
Houston,Georgia,0.6945880847173722
Twin Falls,Idaho,0.6927588587641431
Jackson,Illinois,0.6682449300604986
Kankakee,Illinois,0.6925443195590503
Kendall,Illinois,0.6754132841536646
LaSalle,Illinois,0.6725744761160549
Madison,Illinois,0.6582638590770796
Washington,Illinois,-1421.2036478126765
Williamson,Illinois,0.5158267946439661
Clark,Indiana,0.6804364091368542
Fayette,Indiana,0.7306829848884305
Jennings,Indiana,0.7130533140772831
Madison,Indiana,0.68487225424406
Washington,Iowa,0.7005760810411833
Winneshiek,Iowa,-13273.76532413877
Leavenworth,Kansas,0.6827658529089022
Franklin,Kentucky,0.7311443558821279
Kenton,Kentucky,0.6715143925855427
Warren,Kentucky,0.4871359135062953
Unknown,Louisiana,0.7313535626171906
Penobscot,Maine,0.7141392387619595
Franklin,Massachusetts,0.7056955366488835
Rice,Minnesota,0.5810046301813496
Bolivar,Mississippi,0.7136514994658913
Coahoma,Mississippi,0.7301897011648331
DeSoto,Mississippi,0.7106251236756977
Madison,Mississippi,0.6978238155062135
Perry,Mississippi,0.7192732696576863
St. Charles,Missouri,0.6915294258231269
St. Louis city,Missouri,0.6881195694684782
Adams,Nebraska,0.6571021595263116
Lincoln,Nebraska,0.7381488015281561
Belknap,New Hampshire,0.7388418247353303
Merrimack,New Hampshire,0.6995684509266898
Atlantic,New Jersey,0.6344654869100783
Chenango,New York,0.7099449996210216
Essex,New York,0.6606396184827965
Hamilton,New York,0.7992996020481845
Jefferson,New York,0.7124478832006955
Livingston,New York,0.6952653755756483
Warren,New York,0.6708129287531737
Washington,New York,0.5809306420908344
Gaston,North Carolina,0.7006796150072626
Guilford,North Carolina,0.6821459223807057
Hoke,North Carolina,-1013.3595772906425
Lincoln,North Carolina,0.7081273354402873
Moore,North Carolina,0.7006619314596214
New Hanover,North Carolina,0.722748849797252
Morton,North Dakota,0.7556681853067159
